Indice_flesch;NomeArquivo;Preco_arq;med_caracs_pags;nro_caracteres;nro_pags;nro_palavras;numbers;plvr_outra_ling;plvrs_unicas;substantivos;verbos
48.13;Noy-Meir1973.pdf;870.89;2936.0;82215;28;13526;35;16;3075;5724;1455
38.69;Old_Norse_Religion_in_Long-term_Perspect.pdf;214.32;4468.0;22338;5;3687;20;1;1204;1080;548
45.69;Olenin-Leppäkoski1999_Article_Non-nativeAnimalsInTheBalticSe.pdf;375.91;3336.0;36699;11;5270;12;12;1940;2550;508
35.65;Paradigm_Shift_The_New_Promise_of_Inform.pdf;54.95;5853.0;5853;1;962;8;0;461;381;129
-9.03;Physiology_of_sport_and_exercise.pdf;26.35;2925.0;8776;3;1229;2;0;603;582;139
40.92;PhysToday Hydrogen 041239.pdf;317.51;4756.0;33295;7;4790;14;7;1858;1975;669
37.94;PIIS0895435606001971.pdf;243.17;5204.0;26019;5;3843;13;1;1098;1331;633
58.83;pinsky-hypergeometric.pdf;60.35;853.0;4265;5;739;2;2;354;310;106
-68.66;Pringle_BIOL-3559-101_Conservation-Biology1.pdf;56.76;1548.0;15476;10;2289;10;7;868;1321;204
19.91;Psychology_and_Music.pdf;1149.83;3040.0;97283;32;14853;88;7;3538;5281;2239
-353.82;QuantitativeConservationBiology.pdf;36.73;1383.0;9684;7;1368;3;0;461;748;153
29.28;Regulation_of_the_Expression_of_Nitric_Oxide_Synth.pdf;1219.89;5600.0;112006;20;16685;23;24;4119;9229;1572
27.32;religion ANSWER KEY.pdf;90.59;1567.0;6268;4;1095;5;0;491;365;193
17.95;rethinking-music-a-briefing-book-2011.pdf;2795.96;2085.0;212631;102;33785;133;66;6945;13560;4804
6.95;sample.pdf;373.94;972.0;21394;22;3387;18;0;953;1240;500
14.3;sample2.pdf;575.95;2307.0;43834;19;7112;0;1054;2118;3941;621
6.55;SC11_Kuhn.pdf;363.18;2690.0;29586;11;4715;33;4;2044;1810;668
61.19;Science-2000-Myers-2196-204.pdf;381.91;5745.0;57451;10;8906;78;14;2604;3314;1414
48.67;SHP6067.pdf;191.05;1747.0;15724;9;2487;9;0;1040;964;404
21.77;software-engineering-Systematic-reviews.pdf;475.75;4784.0;43059;9;6274;32;13;1757;3177;853
8.27;Suicide_in_Old_Norse_and_Finnish_Folk_Stories.pdf;192.34;2580.0;15482;6;2524;9;2;988;959;370
42.38;Sumerian Mythology.pdf;2620.33;2602.0;241960;93;42325;324;16;5372;14052;6094
36.56;The economy of qualities.pdf;770.7;2982.0;74554;25;11408;60;49;3107;3626;1748
41.63;TheDanceofChange-summary.pdf;135.65;2502.0;12511;5;2063;5;0;757;608;366
4.65;Theoi_Becoming_Kami_Classical_Mythology.pdf;617.01;2463.0;49251;20;8389;25;3;2170;2816;1114
59.77;The_Cilician_God_Sandas_and_the_Greek_Ch.pdf;417.48;1725.0;39664;23;6480;39;25;2375;2747;815
41.03;The_Genesis_of_the_Arrows_of_Love_Diachronic_Conce.pdf;708.08;2146.0;62234;29;10031;35;37;2751;3725;1283
49.99;The_genome_sequence_of_the_malaria_mosqu.pdf;608.09;4883.0;63473;13;9317;67;28;3285;4257;1254
39.53;ToxicTriangle_2007LQ.pdf;785.03;3972.0;79436;20;11359;25;24;3477;5304;1307
49.65;TR1648.pdf;1030.56;1845.0;86712;47;12913;42;30;3029;5278;1904
